Date,Open,High,Low,Close
19-Sep-14,2012.74,2019.26,2006.59,2010.4
22-Sep-14,2009.08,2009.08,1991.01,1994.29
23-Sep-14,1992.78,1995.41,1982.77,1982.77
24-Sep-14,1983.34,1999.79,1978.63,1998.3
25-Sep-14,1997.32,1997.32,1965.99,1965.99
26-Sep-14,1966.22,1986.37,1966.22,1982.85
29-Sep-14,1978.96,1981.28,1964.04,1977.8
30-Sep-14,1978.21,1985.17,1968.96,1972.29
01-Oct-14,1971.44,1971.44,1941.72,1946.16
02-Oct-14,1945.83,1952.32,1926.03,1946.17
03-Oct-14,1948.12,1971.19,1948.12,1967.9
06-Oct-14,1970.01,1977.84,1958.43,1964.82
07-Oct-14,1962.36,1962.36,1934.87,1935.1
08-Oct-14,1935.55,1970.36,1925.25,1968.89
09-Oct-14,1967.68,1967.68,1927.56,1928.21
10-Oct-14,1925.63,1936.98,1906.05,1906.13
13-Oct-14,1905.65,1912.09,1874.14,1874.74
14-Oct-14,1877.11,1898.71,1871.79,1877.7
15-Oct-14,1874.18,1874.18,1820.66,1862.49
16-Oct-14,1855.95,1876.01,1835.02,1862.76
17-Oct-14,1864.91,1898.16,1864.91,1886.76
20-Oct-14,1885.62,1905.03,1882.3,1904.01
21-Oct-14,1909.38,1942.45,1909.38,1941.28
22-Oct-14,1941.29,1949.31,1926.83,1927.11
23-Oct-14,1931.02,1961.95,1931.02,1950.82
24-Oct-14,1951.59,1965.27,1946.27,1964.58
27-Oct-14,1962.97,1964.64,1951.37,1961.63
28-Oct-14,1964.14,1985.05,1964.14,1985.05
29-Oct-14,1983.29,1991.4,1969.04,1982.3
30-Oct-14,1979.49,1999.4,1974.75,1994.65
31-Oct-14,2001.2,2018.19,2001.2,2018.05
03-Nov-14,2018.21,2024.46,2013.68,2017.81
04-Nov-14,2015.81,2015.98,2001.01,2012.1
05-Nov-14,2015.29,2023.77,2014.42,2023.57
06-Nov-14,2023.33,2031.61,2015.86,2031.21
07-Nov-14,2032.36,2034.26,2025.07,2031.92
10-Nov-14,2032.01,2038.7,2030.17,2038.26
11-Nov-14,2038.2,2041.28,2035.28,2039.68
12-Nov-14,2037.75,2040.33,2031.95,2038.25
13-Nov-14,2039.21,2046.18,2030.44,2039.33
14-Nov-14,2039.74,2042.22,2035.2,2039.82
17-Nov-14,2038.29,2043.07,2034.46,2041.32
18-Nov-14,2041.48,2056.08,2041.48,2051.8
19-Nov-14,2051.16,2052.14,2040.37,2048.72
20-Nov-14,2045.87,2053.84,2040.49,2052.75
21-Nov-14,2057.46,2071.46,2056.75,2063.5
24-Nov-14,2065.07,2070.17,2065.07,2069.41
25-Nov-14,2070.15,2074.21,2064.75,2067.03
26-Nov-14,2067.36,2073.29,2066.62,2072.83
28-Nov-14,2074.78,2075.76,2065.06,2067.56
01-Dec-14,2065.78,2065.78,2049.57,2053.44
02-Dec-14,2053.77,2068.77,2053.77,2066.55
03-Dec-14,2067.45,2076.28,2066.65,2074.33
04-Dec-14,2073.64,2077.34,2062.34,2071.92
05-Dec-14,2072.78,2079.47,2070.81,2075.37
08-Dec-14,2074.84,2075.78,2054.27,2060.31
09-Dec-14,2056.55,2060.6,2034.17,2059.82
10-Dec-14,2058.86,2058.86,2024.26,2026.14
11-Dec-14,2027.92,2055.53,2027.92,2035.33
12-Dec-14,2030.36,2032.25,2002.33,2002.33
15-Dec-14,2005.03,2018.69,1982.26,1989.63
16-Dec-14,1986.71,2016.89,1972.56,1972.74
17-Dec-14,1973.77,2016.75,1973.77,2012.89
18-Dec-14,2018.98,2061.23,2018.98,2061.23
19-Dec-14,2061.04,2077.85,2061.03,2070.65
22-Dec-14,2069.28,2078.76,2069.28,2078.54
23-Dec-14,2081.48,2086.73,2079.77,2082.17
24-Dec-14,2083.25,2087.56,2081.86,2081.88
26-Dec-14,2084.3,2092.7,2084.3,2088.77
29-Dec-14,2087.63,2093.55,2085.75,2090.57
30-Dec-14,2088.49,2088.49,2079.53,2080.35
31-Dec-14,2082.11,2085.58,2057.94,2058.9
02-Jan-15,2058.9,2072.36,2046.04,2058.2
05-Jan-15,2054.44,2054.44,2017.34,2020.58
06-Jan-15,2022.15,2030.25,1992.44,2002.61
07-Jan-15,2005.55,2029.61,2005.55,2025.9
08-Jan-15,2030.61,2064.08,2030.61,2062.14
09-Jan-15,2063.45,2064.43,2038.33,2044.81
12-Jan-15,2046.13,2049.3,2022.58,2028.26
13-Jan-15,2031.58,2056.93,2008.25,2023.03
14-Jan-15,2018.4,2018.4,1988.44,2011.27
15-Jan-15,2013.75,2021.35,1991.47,1992.67
